doc_id,title,in_metadata,in_kg_doc_nodes,in_runtime_doc_id_mapping,aboutTaxon_count,aboutDisease_count,aboutLocation_count,documentProductionMode_count,has_aboutTaxon,has_aboutDisease,has_aboutLocation,has_documentProductionMode,has_at_least_1_core_fact,has_all_4_core_fact_types
SEAFDEC_011,Current status of acute hepatopancreatic necrosis disease (AHPND) of farmed shrimp in Malaysia,True,True,True,2,1,0,1,True,True,False,True,True,False
FAO_042_biosecurity_philippines,Biosecurity in Aquaculture: Philippines,True,True,True,1,0,1,1,True,False,True,True,True,False
FAO_043,Boosting biosecurity in Peru’s shrimp farming industry for sustainable livelihoods,True,True,True,1,0,0,1,True,False,False,True,True,False
TCKHTS_001,"Thực trạng môi trường và dịch bệnh tại vùng nuôi tôm trên cát ở Thạch Hà, Cẩm Xuyên và Nghi Xuân, Hà Tĩnh",True,True,True,2,3,0,1,True,True,False,True,True,False
FAO_044,Report of the FAO/MARD Technical Workshop on Early Mortality Syndrome (EMS) or Acute Hepatopancreatic Necrosis Syndrome (AHPNS) of Cultured Shrimp,True,True,True,1,1,1,1,True,True,True,True,True,True
FAO_045,Strengthening Capacity for Dealing with Shrimp Infectious Myonecrosis Virus Disease - TCP/INT/3501,True,True,True,1,1,0,1,True,True,False,True,True,False
PMC_001,"Enterocytozoon hepatopenaei Infection in Shrimp: Diagnosis, Interventions, and Food Safety Guidelines",True,True,True,1,1,0,1,True,True,False,True,True,False
PMC_002,Quantification of Enterocytozoon hepatopenaei (EHP) in Penaeid Shrimps from Southeast Asia and Latin America Using TaqMan Probe-Based Quantitative PCR,True,True,True,1,1,1,1,True,True,True,True,True,True
PMC_003,Ecytonucleospora hepatopenaei (EHP) disease prevalence and mortality in Litopenaeus vannamei: a comparative study from Eastern India shrimp farms,True,True,True,2,1,1,1,True,True,True,True,True,True
PMC_004,Differential regulation of the eicosanoid biosynthesis pathway in response to Enterocytozoon hepatopenaei infection in Litopenaeus vannamei,True,True,True,2,1,0,1,True,True,False,True,True,False
PMC_005,Ecytonucleospora hepatopenaei causes lipid droplet depletion and imbalanced lipid metabolism in Penaeus vannamei,True,True,True,2,1,0,1,True,True,False,True,True,False
PMC_006,Microbial community characterization of shrimp survivors to AHPND challenge test treated with an effective shrimp probiotic (Vibrio diabolicus),True,True,True,1,2,0,1,True,True,False,True,True,False
PMC_007,"Effects of Feed Mixed with Lactic Acid Bacteria and Carbon, Nitrogen, Phosphorus Supplied to the Water on the Growth and Survival Rate of White Leg Shrimp (Penaeus vannamei) Infected with Acute Hepatopancreatic Necrosis Disease Caused by Vibrio parahaemolyticus",True,True,True,1,2,0,1,True,True,False,True,True,False
PMC_008,Investigation of the Protective Effect of Probiotic Lactobacillus plantarum Ep-M17 on the Hepatopancreas of Penaeus vannamei,True,True,True,2,2,0,1,True,True,False,True,True,False
PMC_009,Characterization of Microbiome Diversity in the Digestive Tract of Penaeus vannamei Fed with Probiotics and Challenged with Vibrio parahaemolyticus Acute Hepatopancreatic Necrosis Disease,True,True,True,2,2,0,1,True,True,False,True,True,False
PMC_010,A Review of the Functional Annotations of Important Genes in the AHPND-Causing pVA1 Plasmid,True,True,True,1,2,0,1,True,True,False,True,True,False
PMC_011,Structural Insights into the Cytotoxic Mechanism of Vibrio parahaemolyticus PirAvp and PirBvp Toxins,True,True,True,2,2,0,1,True,True,False,True,True,False
PMC_012,Diagnosis and potential treatments for acute hepatopancreatic necrosis disease (AHPND): a review,True,True,True,1,2,0,1,True,True,False,True,True,False
PMC_013,Innovative use of squid (Loligo spp.) ink powder as a potent immunostimulant for vannamei shrimp (Litopenaeus vannamei) in the treatment of infectious myonecrosis,True,True,True,1,1,0,1,True,True,False,True,True,False
PMC_014,"Immune response, gene expression, and intestinal microbial composition of Pacific white shrimp fed with multispecies synbiotic for the prevention of coinfected disease",True,True,True,1,2,0,1,True,True,False,True,True,False
PMC_015,"Kiam wood, Cotylelobium lanceotatum, extract as a natural antimicrobial agent: protecting Pacific white shrimp, Penaeus vannamei, against vibriosis",True,True,True,1,1,0,1,True,True,False,True,True,False
PMC_016,Passive Immune-Protection of Litopenaeus vannamei against Vibrio harveyi and Vibrio parahaemolyticus Infections with Anti-Vibrio Egg Yolk (IgY)-Encapsulated Feed,True,True,True,1,1,0,1,True,True,False,True,True,False
PMC_017,Shrimp shape resistance trait against vibriosis by memorizing the colonization resistance of intestinal microbiota,True,True,True,2,1,0,1,True,True,False,True,True,False
PMC_018,Transcriptomic insights into the resistance mechanism of Penaeus vannamei against highly lethal Vibrio parahaemolyticus,True,True,True,2,1,0,1,True,True,False,True,True,False
