row_index,doc_id,field_name,raw_value,status,mapped_uri_or_reason
13,FAO_014,filePath,data/raw_docs/FAO_014_cd8658en.pdf,set,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_014
13,FAO_014,language,English,skipped_no_predicate,predicate missing in ontology
13,FAO_014,keywords,lobster; trade analysis; exports; market trends; fisheries economics; Canada; China; international trade,skipped_no_predicate,predicate missing in ontology
13,FAO_014,aboutTaxon,lobster,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Tom_hum_bong
13,FAO_014,aboutLocation,Canada,unmapped,no ontology match (and manual fallback failed)
13,FAO_014,aboutLocation,China,unmapped,no ontology match (and manual fallback failed)
13,FAO_014,aboutLocation,Global,mapped,http://example.org/aqua-kg#Global
13,FAO_014,documentProductionMode,capture fisheries,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_CaptureFisheries
14,FAO_015,docId,FAO_015,skipped_no_predicate,predicate missing in ontology
14,FAO_015,title,FAO species catalogue. Vol.13. Marine lobsters of the world. An annotated and illustrated catalogue of marine lobsters known to date,set,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_015
14,FAO_015,filePath,data/raw_docs/FAO_015_t0411e.pdf,set,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_015
14,FAO_015,language,English,skipped_no_predicate,predicate missing in ontology
14,FAO_015,keywords,lobsters; Decapoda; fisheries biology; habitats; identification; geographical distribution; nomenclature; species; taxonomy,skipped_no_predicate,predicate missing in ontology
14,FAO_015,aboutTaxon,lobster,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Tom_hum_bong
14,FAO_015,aboutLocation,Global,mapped,http://example.org/aqua-kg#Global
14,FAO_015,documentProductionMode,capture fisheries,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_CaptureFisheries
15,FAO_016,docId,FAO_016,skipped_no_predicate,predicate missing in ontology
15,FAO_016,title,Aquaculture development. 13. Guidelines for ex situ in vitro gene banking of aquatic genetic resources,set,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_016
15,FAO_016,filePath,data/raw_docs/FAO_016_cd7559en.pdf,set,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_016
15,FAO_016,language,English,skipped_no_predicate,predicate missing in ontology
15,FAO_016,keywords,aquaculture development; aquatic genetic resources; ex situ conservation; in vitro culture; gene banks; biosecurity; cryopreservation; protocols; seaweed,skipped_no_predicate,predicate missing in ontology
15,FAO_016,aboutTaxon,aquatic species,unmapped,no ontology match (and manual fallback failed)
15,FAO_016,aboutTaxon,fish,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Fish
15,FAO_016,aboutTaxon,shellfish,unmapped,no ontology match (and manual fallback failed)
15,FAO_016,aboutLocation,Global,mapped,http://example.org/aqua-kg#Global
15,FAO_016,documentProductionMode,aquaculture,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Aquaculture
16,FAO_017,docId,FAO_017,skipped_no_predicate,predicate missing in ontology
16,FAO_017,title,Survey and evaluation of water qualities. A field guide for managers of inland fisheries and fish farms,set,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_017
16,FAO_017,filePath,data/raw_docs/FAO_017_ca7588en.pdf,set,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_017
16,FAO_017,language,English,skipped_no_predicate,predicate missing in ontology
16,FAO_017,keywords,inland fisheries; fish farms; inland waters; water quality; chemicophysical properties; abiotic factors; biotic factors; meteorology; impact assessment; fish culture; evaluation; surveys,skipped_no_predicate,predicate missing in ontology
16,FAO_017,aboutTaxon,fish,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Fish
16,FAO_017,aboutTaxon,aquatic animals,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_AquaticTaxon
16,FAO_017,aboutLocation,inland waters,unmapped,no ontology match (and manual fallback failed)
16,FAO_017,aboutLocation,Hungary,unmapped,no ontology match (and manual fallback failed)
16,FAO_017,aboutLocation,Global,mapped,http://example.org/aqua-kg#Global
16,FAO_017,documentProductionMode,inland fisheries,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_InlandFisheries
16,FAO_017,documentProductionMode,aquaculture,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Aquaculture
17,FAO_018,docId,FAO_018,skipped_no_predicate,predicate missing in ontology
17,FAO_018,title,Water quality and fish health,set,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_018
17,FAO_018,filePath,data/raw_docs/FAO_018_t1623e.pdf,set,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_018
17,FAO_018,language,English,skipped_no_predicate,predicate missing in ontology
17,FAO_018,keywords,water quality; fish health; aquatic environment; toxicology; water pollution; disease risk; environmental stress; fish culture; fish diseases; health,skipped_no_predicate,predicate missing in ontology
17,FAO_018,aboutTaxon,fish,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Fish
17,FAO_018,aboutTaxon,aquatic animals,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_AquaticTaxon
17,FAO_018,aboutLocation,Europe,unmapped,no ontology match (and manual fallback failed)
17,FAO_018,documentProductionMode,inland fisheries,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_InlandFisheries
17,FAO_018,documentProductionMode,aquaculture,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Aquaculture
18,FAO_019,docId,FAO_019,skipped_no_predicate,predicate missing in ontology
18,FAO_019,title,Understanding and applying risk analysis in aquaculture,set,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_019
