"source_path","proposed_archive_path","action_status","result","message"
"outputs/archive/old_outputs/full_corpus_metadata_audit_summary.csv","archive_pre_final/already_archived/outputs/archive/old_outputs/full_corpus_metadata_audit_summary.csv","ready_to_move","moved","Moved successfully."
"outputs/archive/old_outputs/full_corpus_metadata_cleanup_effect_summary.json","archive_pre_final/already_archived/outputs/archive/old_outputs/full_corpus_metadata_cleanup_effect_summary.json","ready_to_move","moved","Moved successfully."
"outputs/archive/old_outputs/full_corpus_metadata_cleanup_report.csv","archive_pre_final/already_archived/outputs/archive/old_outputs/full_corpus_metadata_cleanup_report.csv","ready_to_move","moved","Moved successfully."
"outputs/archive/old_outputs/full_corpus_metadata_cleanup_report.json","archive_pre_final/already_archived/outputs/archive/old_outputs/full_corpus_metadata_cleanup_report.json","ready_to_move","moved","Moved successfully."
"outputs/archive/old_outputs/full_corpus_pipeline_summary.json","archive_pre_final/already_archived/outputs/archive/old_outputs/full_corpus_pipeline_summary.json","ready_to_move","moved","Moved successfully."
"outputs/archive/old_outputs/metadata_cleanup_effect_summary.json","archive_pre_final/already_archived/outputs/archive/old_outputs/metadata_cleanup_effect_summary.json","ready_to_move","moved","Moved successfully."
"outputs/archive/old_outputs/metadata_cleanup_report.csv","archive_pre_final/already_archived/outputs/archive/old_outputs/metadata_cleanup_report.csv","ready_to_move","moved","Moved successfully."
"outputs/archive/old_outputs/metadata_cleanup_report.json","archive_pre_final/already_archived/outputs/archive/old_outputs/metadata_cleanup_report.json","ready_to_move","moved","Moved successfully."
"outputs/archive/old_outputs/metadata_normalization_report.csv","archive_pre_final/already_archived/outputs/archive/old_outputs/metadata_normalization_report.csv","ready_to_move","moved","Moved successfully."
"outputs/archive/old_outputs/metadata_normalization_report.json","archive_pre_final/already_archived/outputs/archive/old_outputs/metadata_normalization_report.json","ready_to_move","moved","Moved successfully."
"outputs/archive/old_outputs/new_or_used_generic_entities_review.json","archive_pre_final/already_archived/outputs/archive/old_outputs/new_or_used_generic_entities_review.json","ready_to_move","moved","Moved successfully."
"outputs/archive/old_outputs/ontology_alias_added.json","archive_pre_final/already_archived/outputs/archive/old_outputs/ontology_alias_added.json","ready_to_move","moved","Moved successfully."
"outputs/archive/old_outputs/ontology_alias_gap_report.csv","archive_pre_final/already_archived/outputs/archive/old_outputs/ontology_alias_gap_report.csv","ready_to_move","moved","Moved successfully."
"outputs/archive/old_outputs/ontology_alias_gap_report.json","archive_pre_final/already_archived/outputs/archive/old_outputs/ontology_alias_gap_report.json","ready_to_move","moved","Moved successfully."
"outputs/archive/old_outputs/pipeline_run_query_summary.json","archive_pre_final/already_archived/outputs/archive/old_outputs/pipeline_run_query_summary.json","ready_to_move","moved","Moved successfully."
"outputs/archive/old_outputs/post_clean_metadata_cleanup_report.json","archive_pre_final/already_archived/outputs/archive/old_outputs/post_clean_metadata_cleanup_report.json","ready_to_move","moved","Moved successfully."
"outputs/archive/old_outputs/semantic_backfill_false_positive_review.json","archive_pre_final/already_archived/outputs/archive/old_outputs/semantic_backfill_false_positive_review.json","ready_to_move","moved","Moved successfully."
"outputs/archive/old_reports/cursor_fix_report.md","archive_pre_final/already_archived/outputs/archive/old_reports/cursor_fix_report.md","ready_to_move","moved","Moved successfully."
"outputs/archive/old_reports/focus_two_weak_queries_report.md","archive_pre_final/already_archived/outputs/archive/old_reports/focus_two_weak_queries_report.md","ready_to_move","moved","Moved successfully."
"outputs/archive/old_reports/focus_two_weak_queries_report_round2.md","archive_pre_final/already_archived/outputs/archive/old_reports/focus_two_weak_queries_report_round2.md","ready_to_move","moved","Moved successfully."
"outputs/archive/old_reports/imn_lobster_fix_report.md","archive_pre_final/already_archived/outputs/archive/old_reports/imn_lobster_fix_report.md","ready_to_move","moved","Moved successfully."
"outputs/archive/old_snapshots/focus_two_queries_after.json","archive_pre_final/already_archived/outputs/archive/old_snapshots/focus_two_queries_after.json","ready_to_move","moved","Moved successfully."
"outputs/archive/old_snapshots/focus_two_queries_before.json","archive_pre_final/already_archived/outputs/archive/old_snapshots/focus_two_queries_before.json","ready_to_move","moved","Moved successfully."
"outputs/archive/old_snapshots/focus_two_queries_metrics.json","archive_pre_final/already_archived/outputs/archive/old_snapshots/focus_two_queries_metrics.json","ready_to_move","moved","Moved successfully."
"outputs/archive/old_snapshots/focus_two_queries_round2_after.json","archive_pre_final/already_archived/outputs/archive/old_snapshots/focus_two_queries_round2_after.json","ready_to_move","moved","Moved successfully."
"outputs/archive/old_snapshots/focus_two_queries_round2_before.json","archive_pre_final/already_archived/outputs/archive/old_snapshots/focus_two_queries_round2_before.json","ready_to_move","moved","Moved successfully."
"outputs/archive/old_snapshots/imn_lobster_after.json","archive_pre_final/already_archived/outputs/archive/old_snapshots/imn_lobster_after.json","ready_to_move","moved","Moved successfully."
"outputs/archive/old_snapshots/imn_lobster_before.json","archive_pre_final/already_archived/outputs/archive/old_snapshots/imn_lobster_before.json","ready_to_move","moved","Moved successfully."
"outputs/archive/old_snapshots/imn_lobster_comparison.json","archive_pre_final/already_archived/outputs/archive/old_snapshots/imn_lobster_comparison.json","ready_to_move","moved","Moved successfully."
"outputs/archive/old_snapshots/weak_query_fix_after.json","archive_pre_final/already_archived/outputs/archive/old_snapshots/weak_query_fix_after.json","ready_to_move","moved","Moved successfully."
"outputs/archive/old_snapshots/weak_query_fix_before.json","archive_pre_final/already_archived/outputs/archive/old_snapshots/weak_query_fix_before.json","ready_to_move","moved","Moved successfully."
"outputs/archive/old_snapshots/weak_query_fix_comparison.json","archive_pre_final/already_archived/outputs/archive/old_snapshots/weak_query_fix_comparison.json","ready_to_move","moved","Moved successfully."
"outputs/archive/old_verification/alias_metadata_cleanup_query_verification.json","archive_pre_final/already_archived/outputs/archive/old_verification/alias_metadata_cleanup_query_verification.json","ready_to_move","moved","Moved successfully."
"outputs/archive/old_verification/disease_priority_queries_verification.json","archive_pre_final/already_archived/outputs/archive/old_verification/disease_priority_queries_verification.json","ready_to_move","moved","Moved successfully."
"outputs/archive/old_verification/disease_priority_queries_verification_after_canonical_bridge.json","archive_pre_final/already_archived/outputs/archive/old_verification/disease_priority_queries_verification_after_canonical_bridge.json","ready_to_move","moved","Moved successfully."
"outputs/archive/old_verification/disease_priority_queries_verification_after_tightening.json","archive_pre_final/already_archived/outputs/archive/old_verification/disease_priority_queries_verification_after_tightening.json","ready_to_move","moved","Moved successfully."
"outputs/archive/old_verification/disease_priority_queries_verification_before_tightening.json","archive_pre_final/already_archived/outputs/archive/old_verification/disease_priority_queries_verification_before_tightening.json","ready_to_move","moved","Moved successfully."
"outputs/archive/old_verification/full_corpus_query_verification.json","archive_pre_final/already_archived/outputs/archive/old_verification/full_corpus_query_verification.json","ready_to_move","moved","Moved successfully."
"outputs/archive/old_verification/kg_runtime_verification_after_canonical_bridge.json","archive_pre_final/already_archived/outputs/archive/old_verification/kg_runtime_verification_after_canonical_bridge.json","ready_to_move","moved","Moved successfully."
"outputs/archive/old_verification/kg_runtime_verification_after_disease_tightening.json","archive_pre_final/already_archived/outputs/archive/old_verification/kg_runtime_verification_after_disease_tightening.json","ready_to_move","moved","Moved successfully."
"outputs/archive/old_verification/kg_runtime_verification_before_alias_enrichment.json","archive_pre_final/already_archived/outputs/archive/old_verification/kg_runtime_verification_before_alias_enrichment.json","ready_to_move","moved","Moved successfully."
"outputs/archive/old_verification/kg_runtime_verification_before_disease_tightening.json","archive_pre_final/already_archived/outputs/archive/old_verification/kg_runtime_verification_before_disease_tightening.json","ready_to_move","moved","Moved successfully."
"outputs/archive/old_verification/kg_runtime_verification_before_fact_backfill.json","archive_pre_final/already_archived/outputs/archive/old_verification/kg_runtime_verification_before_fact_backfill.json","ready_to_move","moved","Moved successfully."
"outputs/archive/old_verification/kg_runtime_verification_before_semantic_backfill.json","archive_pre_final/already_archived/outputs/archive/old_verification/kg_runtime_verification_before_semantic_backfill.json","ready_to_move","moved","Moved successfully."
"outputs/archive/old_verification/kg_runtime_verification_semantic_patch_expanded.json","archive_pre_final/already_archived/outputs/archive/old_verification/kg_runtime_verification_semantic_patch_expanded.json","ready_to_move","moved","Moved successfully."
"outputs/archive/old_verification/kg_runtime_verification_semantic_patch_summary.json","archive_pre_final/already_archived/outputs/archive/old_verification/kg_runtime_verification_semantic_patch_summary.json","ready_to_move","moved","Moved successfully."
"outputs/candidate_fusion_experiment_summary.csv","archive_pre_final/old_candidate_fusion_v1/candidate_fusion_experiment_summary.csv","ready_to_move","moved","Moved successfully."
