doc_id,doc_uri,token,source_field,candidate_property,normalized_label,candidate_class,candidate_property_suggested,target_uri,decision,reason,confidence
FAO_025,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_025,Africa,related_location,aboutLocation,africa,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
FAO_026,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_026,fish,related_taxon,aboutTaxon,fish,Fish,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Fish,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
FAO_026,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_026,Indian Ocean,related_location,aboutLocation,indian ocean,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
FAO_026,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_026,Southern Africa,related_location,aboutLocation,southern africa,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
FAO_027,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_027,aquatic species,related_taxon,aboutTaxon,aquatic species,Taxon,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_AquaticTaxon,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
FAO_027,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_027,fish,related_taxon,aboutTaxon,fish,Fish,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Fish,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
FAO_027,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_027,shellfish,related_taxon,aboutTaxon,shellfish,Taxon,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_AquaticTaxon,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
FAO_028,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_028,aquatic species,related_taxon,aboutTaxon,aquatic species,Taxon,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_AquaticTaxon,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
FAO_028,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_028,fish,related_taxon,aboutTaxon,fish,Fish,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Fish,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
FAO_029,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_029,aquatic species,related_taxon,aboutTaxon,aquatic species,Taxon,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_AquaticTaxon,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
